"","rok","hodnota","inflation","base_2003","base_2020"
"1",2003,100.1,1.001,1,1.4473014097834
"2",2004,102.816666666667,1.02816666666667,1.02816666666667,1.40765253018324
"3",2005,101.866666666667,1.01866666666667,1.04735911111111,1.38185785031077
"4",2006,102.533333333333,1.02533333333333,1.07389220859259,1.34771571876863
"5",2007,102.833333333333,1.02833333333333,1.10431915450272,1.31058254661455
"6",2008,106.366666666667,1.06366666666667,1.17462747400606,1.23213652141763
"7",2009,101.05,1.0105,1.18696106248312,1.21933351946326
"8",2010,101.466666666667,1.01466666666667,1.20436982473287,1.2017084620203
"9",2011,101.916666666667,1.01916666666667,1.22745357970692,1.17910887524477
"10",2012,103.291666666667,1.03291666666667,1.26785726003894,1.14153340080172
"11",2013,101.416666666667,1.01416666666667,1.28581857122282,1.12558757679709
"12",2014,100.358333333333,1.00358333333333,1.2904260877697,1.12156862256623
"13",2015,100.333333333333,1.00333333333333,1.29472750806227,1.11784248096302
"14",2016,100.675,1.00675,1.30346691874169,1.11034763443061
"15",2017,102.466666666667,1.02466666666667,1.33561910273732,1.08361838103183
"16",2018,102.141666666667,1.02141666666667,1.36422361185428,1.06089749305556
"17",2019,102.841666666667,1.02841666666667,1.40299029949113,1.03158333333333
"18",2020,103.158333333333,1.03158333333333,1.4473014097834,1
